,_wandb,N_init,N_sample_scale,Nt,appex_maxiters,downsample_rate,dt,noise_strength,A_grit_error,A_appex_error
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.784782881269417,0.022683793824409732
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.2205880147036896,0.016999981784761822
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.710932539078535,0.01714819499140816
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,5.278623244676612,0.01631476547814202
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.4052361135859517,0.013162726153533892
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.7624658414267143,0.0115942470330375
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.322209283579385,0.017041222188124535
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,4.9568951500118095,0.018990613103676317
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,5.826924935399373,0.019391109146030615
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,6.087575368059746,0.015464006943865339
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.8385254178156676,0.009892465487770676
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.384199431722826,0.017023871774834564
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.6544419895196136,0.027388006024844456
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.961713413034927,0.01579062151135263
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.994738821296785,0.0140032984010083
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.0098040700327418,0.013739634022528879
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.063335587929655,0.008273586939109791
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.9366933436296634,0.014797807895699358
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.7900542876617136,0.010950610136849885
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,4.885820641867279,0.011656385942301012
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.0516541889062876,0.013804897235451244
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,4.51493498764302,0.012354639480824712
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.993609257136927,0.007898022228355372
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.4524379770450113,0.016825237663628215
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.988985592718161,0.027312792829914008
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.602882806872078,0.026276259873111666
